# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  10)   0.032 us    |    down_read_trylock();
  10)   0.028 us    |    _cond_resched();
  10)               |    find_vma() {
  10)   0.045 us    |      vmacache_find();
  10)   0.304 us    |    }
  10)               |    handle_mm_fault() {
  10)   0.031 us    |      __mem_cgroup_count_vm_event();
  10)               |      handle_pte_fault() {
  10)               |        do_anonymous_page.isra.47() {
  10)               |          anon_vma_prepare() {
  10)   0.027 us    |            _cond_resched();
  10)   0.288 us    |          }
  10)               |          alloc_pages_vma() {
  10)               |            get_vma_policy() {
  10)   0.048 us    |              __get_vma_policy();
  10)   0.076 us    |              get_task_policy.part.24();
  10)   0.649 us    |            }
  10)   0.030 us    |            policy_nodemask();
  10)   0.046 us    |            policy_zonelist();
  10)               |            __alloc_pages_nodemask() {
  10)   0.028 us    |              _cond_resched();
  10)   0.079 us    |              next_zones_zonelist();
  10)               |              get_page_from_freelist() {
  10)   0.047 us    |                next_zones_zonelist();
  10)   0.046 us    |                __cpuset_node_allowed();
  10)   0.059 us    |                __zone_watermark_ok();
  10)   0.039 us    |                __mod_zone_page_state();
  10)               |                zone_statistics() {
  10)   0.036 us    |                  __inc_zone_state();
  10)   0.102 us    |                  __inc_zone_state();
  10)   0.837 us    |                }
  10)   3.384 us    |              }
  10)   4.479 us    |            }
  10)   6.181 us    |          }
  10)               |          mem_cgroup_try_charge() {
  10)   0.074 us    |            get_mem_cgroup_from_mm();
  10)   0.086 us    |            try_charge();
  10)   0.779 us    |          }
  10)   0.030 us    |          _raw_spin_lock();
  10)   0.035 us    |          add_mm_counter_fast();
  10)               |          page_add_new_anon_rmap() {
  10)   0.036 us    |            __mod_zone_page_state();
  10)   0.446 us    |          }
  10)               |          mem_cgroup_commit_charge() {
  10)   0.029 us    |            commit_charge();
  10)   0.045 us    |            mem_cgroup_charge_statistics.isra.19();
  10)   0.029 us    |            memcg_check_events();
  10)   0.883 us    |          }
  10)               |          lru_cache_add_active_or_unevictable() {
  10)   0.042 us    |            __lru_cache_add();
  10)   0.320 us    |          }
  10)   0.031 us    |          _raw_spin_unlock();
  10) + 11.579 us   |        }
  10) + 11.913 us   |      }
  10) + 12.506 us   |    }
  10)   0.032 us    |    up_read();
  10) + 14.096 us   |  }
  10)               |  SyS_rt_sigaction() {
  10)               |    do_sigaction() {
  10)   0.061 us    |      _raw_spin_lock_irq();
  10)   0.354 us    |    }
  10)   0.729 us    |  }
  10)               |  SyS_rt_sigaction() {
  10)               |    do_sigaction() {
  10)   0.033 us    |      _raw_spin_lock_irq();
  10)   0.292 us    |    }
  10)   0.607 us    |  }
  10)               |  SyS_rt_sigaction() {
  10)               |    do_sigaction() {
  10)   0.034 us    |      _raw_spin_lock_irq();
  10)   0.054 us    |      flush_sigqueue_mask();
  10)   0.034 us    |      flush_sigqueue_mask();
  10)   0.894 us    |    }
  10)   1.191 us    |  }
  10)               |  SyS_execve() {
  10)               |    getname() {
  10)               |      getname_flags() {
  10)               |        kmem_cache_alloc() {
  10)   0.032 us    |          _cond_resched();
  10)   0.357 us    |        }
  10)   0.713 us    |      }
  10)   0.975 us    |    }
  10)               |    do_execveat_common.isra.29() {
  10)               |      unshare_files() {
  10)   0.077 us    |        unshare_fd();
  10)   0.359 us    |      }
  10)               |      kmem_cache_alloc_trace() {
  10)   0.033 us    |        _cond_resched();
  10)   0.345 us    |      }
  10)               |      prepare_bprm_creds() {
  10)               |        mutex_lock_interruptible() {
  10)   0.033 us    |          _cond_resched();
  10)   0.285 us    |        }
  10)               |        prepare_exec_creds() {
  10)               |          prepare_creds() {
  10)               |            kmem_cache_alloc() {
  10)   0.027 us    |              _cond_resched();
  10)   0.336 us    |            }
  10)               |            security_prepare_creds() {
  10)               |              apparmor_cred_prepare() {
  10)               |                aa_alloc_task_context() {
  10)               |                  kmem_cache_alloc_trace() {
  10)   0.029 us    |                    _cond_resched();
  10)   0.313 us    |                  }
  10)   0.590 us    |                }
  10)   0.067 us    |                aa_dup_task_context();
  10)   1.258 us    |              }
  10)   1.560 us    |            }
  10)   2.551 us    |          }
  10)   0.035 us    |          key_put();
  10)   0.034 us    |          key_put();
  10)   3.367 us    |        }
  10)   4.511 us    |      }
  10)   0.047 us    |      _raw_spin_lock();
  10)   0.028 us    |      _raw_spin_unlock();
  10)               |      do_open_execat() {
  10)               |        do_filp_open() {
  10)               |          path_openat() {
  10)               |            get_empty_filp() {
  10)               |              kmem_cache_alloc() {
  10)   0.030 us    |                _cond_resched();
  10)   0.350 us    |              }
  10)               |              security_file_alloc() {
  10)               |                apparmor_file_alloc_security() {
  10)               |                  kmem_cache_alloc_trace() {
  10)   0.025 us    |                    _cond_resched();
  10)   0.315 us    |                  }
  10)   0.591 us    |                }
  10)   0.879 us    |              }
  10)   0.031 us    |              __mutex_init();
  10)   2.166 us    |            }
  10)               |            path_init() {
  10)               |              link_path_walk() {
  10)               |                inode_permission() {
  10)               |                  __inode_permission() {
  10)   0.032 us    |                    generic_permission();
  10)               |                    security_inode_permission() {
  10)   0.029 us    |                      cap_inode_permission();
  10)   0.324 us    |                    }
  10)   0.910 us    |                  }
  10)   1.162 us    |                }
  10)               |                lookup_fast() {
  10)   0.135 us    |                  __d_lookup_rcu();
  10)   0.106 us    |                  __lookup_mnt();
