# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  13)   0.043 us    |                      update_curr();
  13)   0.129 us    |                      update_cfs_rq_blocked_load();
  13)   0.031 us    |                      clear_buddies();
  13)   0.044 us    |                      account_entity_dequeue();
  13)   0.026 us    |                      update_min_vruntime();
  13)   0.065 us    |                      update_cfs_shares();
  13)   1.871 us    |                    }
  13)   0.028 us    |                    hrtick_update();
  13) + 13.403 us   |                  }
  13) + 14.018 us   |                }
  13) + 14.265 us   |              }
  13)               |              pick_next_task_fair() {
  13)   0.029 us    |                msecs_to_jiffies();
  13)   0.478 us    |              }
  13)               |              pick_next_task_idle() {
  13)               |                put_prev_task_fair() {
  13)               |                  put_prev_entity() {
  13)   0.026 us    |                    check_cfs_rq_runtime();
  13)   0.305 us    |                  }
  13)               |                  put_prev_entity() {
  13)   0.032 us    |                    check_cfs_rq_runtime();
  13)   0.299 us    |                  }
  13)               |                  put_prev_entity() {
  13)   0.032 us    |                    check_cfs_rq_runtime();
  13)   0.300 us    |                  }
  13)               |                  put_prev_entity() {
  13)   0.027 us    |                    check_cfs_rq_runtime();
  13)   0.281 us    |                  }
  13)   2.167 us    |                }
  13)   2.439 us    |              }
  15)   0.263 us    |              finish_task_switch();
  15) $ 1725423 us |            } /* __schedule */
  15) $ 1725423 us |          } /* schedule */
  15) $ 1725424 us |        } /* schedule_timeout */
  15)               |        lock_sock_nested() {
  15)   0.039 us    |          _cond_resched();
  15)   0.105 us    |          _raw_spin_lock_bh();
  15)   0.039 us    |          _raw_spin_unlock();
  15)   0.084 us    |          __local_bh_enable_ip();
  15)   1.549 us    |        }
  15)   0.059 us    |        finish_wait();
  15)               |        release_sock() {
  15)   0.038 us    |          _raw_spin_lock_bh();
  15)   0.082 us    |          tcp_release_cb();
  15)               |          _raw_spin_unlock_bh() {
  15)   0.036 us    |            __local_bh_enable_ip();
  15)   0.293 us    |          }
  15)   1.236 us    |        }
  15)               |        kmem_cache_free() {
  15)   0.174 us    |          __slab_free();
  15)   0.553 us    |        }
  15) $ 1725432 us |      } /* inet_csk_accept */
  15)               |      lock_sock_nested() {
  15)   0.029 us    |        _cond_resched();
